"File","HasImages","AlreadyHadHoverStabilityBlock","Changed","MojibakeLinesBefore","MojibakeLinesAfter","MojibakeIncreased"
"billboards\rush-always-right.html","Yes","No","Yes","0","0","No"
"billboards\saddams-suvs.html","Yes","No","Yes","0","0","No"
"billboards\salem-spirit-austin-tx-1983.html","Yes","No","Yes","0","0","No"
"billboards\se-cres-no-ten-porque-ser-verdade.html","Yes","No","Yes","0","0","No"
"billboards\shes-smoking-for-two-jersey-city-1996.html","Yes","No","Yes","0","0","No"
"billboards\shop-while-they-drop.html","Yes","No","Yes","0","0","No"
"billboards\sideshow-denton-tx-1981.html","Yes","No","Yes","0","0","No"
"billboards\smoke-a-camel-ron-and-the-artfux-nyc-1990.html","Yes","No","Yes","0","0","No"
"billboards\smooth-character-jersey-city-1992.html","Yes","No","Yes","0","0","No"
"billboards\some-freds-are-gonna-roll-nyc-1990.html","Yes","No","Yes","0","0","No"
"billboards\squirrel-squirt-beer.html","Yes","No","Yes","0","0","No"
"billboards\strippers.html","Yes","No","Yes","0","0","No"
"billboards\stuckeys-austin-tx-1985.html","Yes","No","Yes","0","0","No"
"billboards\sugar-the-other-white-powder.html","Yes","No","Yes","0","0","No"
"billboards\supermarket-1.html","Yes","No","Yes","0","0","No"
"billboards\supermarket-2.html","Yes","No","Yes","0","0","No"
"billboards\supersize-this-mother-fker.html","Yes","No","Yes","0","0","No"
"billboards\supersize-your-thighs.html","Yes","No","Yes","0","0","No"
"billboards\support-our-ceos.html","Yes","No","Yes","0","0","No"
"billboards\surveillance-austin-tx-1985.html","Yes","No","Yes","0","0","No"
"billboards\thank-god-for-global-warming.html","Yes","No","Yes","0","0","No"
"billboards\the-cancer-kid-jersey-city-1996.html","Yes","No","Yes","0","0","No"
"billboards\the-gefkens.html","Yes","No","Yes","0","0","No"
"billboards\the-invading-aliens-from-the-beach-party-austin-tx-1985.html","Yes","No","Yes","0","0","No"
"billboards\the-late-show.html","Yes","No","Yes","0","0","No"
"billboards\the-media-is-the-massage-version-2.html","Yes","No","Yes","0","0","No"
"billboards\the-poor-what-are-they-good-for.html","Yes","No","Yes","0","0","No"
"billboards\the-rabbits-in-delusionville.html","Yes","No","Yes","0","0","No"
"billboards\think-different.html","Yes","No","Yes","0","0","No"
"billboards\think-different-manson.html","Yes","No","Yes","0","0","No"
"billboards\to-serve-man.html","Yes","No","Yes","0","0","No"
"billboards\trump-golden-billionare.html","Yes","No","Yes","0","0","No"
"billboards\trumpty-dumpty.html","Yes","No","Yes","0","0","No"
"billboards\two-thousand-years-in-the-tomb.html","Yes","No","Yes","0","0","No"
"billboards\wars-fought-orgies-organized.html","Yes","No","Yes","0","0","No"
"billboards\we-deceive-you-believe.html","Yes","No","Yes","0","0","No"
